Kenteken,Voertuigsoort,Merk,Handelsbenaming,"Vervaldatum APK","Datum tenaamstelling","Bruto BPM",Inrichting,"Aantal zitplaatsen","Eerste kleur","Tweede kleur","Aantal cilinders",Cilinderinhoud,"Massa ledig voertuig","Toegestane maximum massa voertuig","Massa rijklaar","Maximum massa trekken ongeremd","Maximum trekken massa geremd",Zuinigheidslabel,"Datum eerste toelating","Datum eerste afgifte Nederland","Wacht op keuren",Catalogusprijs,"WAM verzekerd","Maximale constructiesnelheid (brom/snorfiets)",Laadvermogen,"Oplegger geremd","Aanhangwagen autonoom geremd","Aanhangwagen middenas geremd","Vermogen (brom/snorfiets)","Aantal staanplaatsen","Aantal deuren","Aantal wielen","Afstand hart koppeling tot achterzijde voertuig","Afstand voorzijde voertuig tot hart koppeling","Afwijkende maximum snelheid",Lengte,Breedte,"Europese voertuigcategorie","Europese voertuigcategorie toevoeging","Europese uitvoeringcategorie toevoeging","Plaats chassisnummer","Technische max. massa voertuig",Type,"Type gasinstallatie",Typegoedkeuringsnummer,Variant,Uitvoering,"Volgnummer wijziging EU typegoedkeuring","Vermogen massarijklaar",Wielbasis,"Export indicator","Openstaande terugroepactie indicator","Vervaldatum tachograaf","Taxi indicator","Maximum massa samenstelling","Aantal rolstoelplaatsen","Maximum ondersteunende snelheid","API Gekentekende_voertuigen_assen","API Gekentekende_voertuigen_brandstof","API Gekentekende_voertuigen_carrosserie","API Gekentekende_voertuigen_carrosserie_specifiek","API Gekentekende_voertuigen_voertuigklasse"
DXP33L,Bromfiets,YAMAHA,"NEO'S UBS",,20201023,,N.v.t.,2,N.v.t.,N.v.t.,1,49,88,,95,,,,20201023,20201023,"Geen verstrekking in Open Data",,Ja,45,,,,,,,,2,,,,184,69,L1,,,,,SA61,,e13*168/2013*00309*00,A,02,0,0.02,128,Nee,Nee,,Nee,,,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json
20ZHH7,Personenauto,PEUGEOT,208,20211023,20201024,,hatchback,5,WIT,"Niet geregistreerd",3,1199,950,1530,1050,520,1150,A,20121114,20121114,"Geen verstrekking in Open Data",17300,Ja,,,,,,,,4,4,0,0,,396,0,M1,,,"r. schutbord",1530,C,,e2*2007/46*0070*05,CHMZ,0/1,0,0.06,254,Nee,Nee,,Nee,2350,0,0.00,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json
55DKH6,Bromfiets,SPARTA,"SPARTAMET (EL. STARTER)",,20110611,,N.v.t.,,N.v.t.,N.v.t.,,31,32,,39,,,,20050831,20051104,"Geen verstrekking in Open Data",,Ja,25,,,,,0.42,,0,2,0,0,,0,0,L1,e,e,"midden tegen framebuis",0,,,,,,0,0.01,106,Nee,Nee,,Nee,0,,,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json
66XLZ7,Personenauto,KIA,RIO,20211031,20151029,,MPV,5,ZWART,"Niet geregistreerd",4,1248,1004,1560,1104,450,900,A,20120629,20120629,"Geen verstrekking in Open Data",14686,Ja,,,,,,,,4,4,0,0,,405,0,M1,,,"r. bodemplaat by voorzitting",1560,UB,,e11*2007/46*0195*04,F5P41,M51AZ1,0,0.06,257,Nee,Nee,,Nee,2460,0,0.00,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json
ZV443L,Personenauto,SEAT,ARONA,20230820,20190820,4300,hatchback,5,ZWART,"Niet geregistreerd",3,999,1080,1615,1180,590,1000,,20190820,20190820,"Geen verstrekking in Open Data",24085,Ja,,,,,,,,5,4,0,0,,0,0,M1,,,,1615,KJ,,e9*2007/46*3134*20,XDKLA,FM5SFM5DF0094BF3A1BA,0,0.06,255,Nee,Nee,,Nee,2615,0,0.00,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json
VL753N,Bedrijfsauto,TOYOTA,PROACE,20220123,20150122,8802,"gesloten opbouw",2,N.v.t.,N.v.t.,4,1997,1695,2932,1795,750,,,20150122,20150122,"Geen verstrekking in Open Data",36178,Ja,,1237,,2000,2000,,,4,4,0,0,,0,190,N1,,,"r. schutbord",2932,X,,e2*2007/46*0388*04,UAHZ,MDX331L-LPZDTW(1E),0,0.05,312,Nee,Nee,,Nee,4932,0,0.00,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json
ZF164N,Personenauto,VOLKSWAGEN,PASSAT,20230515,20190515,5741,stationwagen,5,WIT,"Niet geregistreerd",4,1498,1365,2060,1465,730,1600,,20190515,20190515,"Geen verstrekking in Open Data",45026,Ja,,,,,,,,5,4,0,0,,0,0,M1,,,,2060,3C,,e1*2001/116*0307*55,ACDADAX0,FD7FD7CW002SV7CPVR21BB,0,0.08,279,Nee,Nee,,Nee,3700,0,0.00,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json
ZD563N,Personenauto,TOYOTA,"TOYOTA AYGO",20230501,20191202,1402,hatchback,4,WIT,"Niet geregistreerd",3,998,830,1240,930,,,,20190501,20190501,"Geen verstrekking in Open Data",14345,Ja,,,,,,,,4,4,0,0,,347,0,M1,,,,1240,AB1,,e6*2007/46*0348*00,KGB40(H),KGB40L-AHMGKW(3S),0,0.06,234,Nee,Nee,,Nee,1240,0,0.00,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json
9SKJ49,Personenauto,RENAULT,CAPTUR,20211024,20200827,3750,hatchback,5,WIT,"Niet geregistreerd",4,1197,1155,1726,1255,625,1200,B,20131024,20131024,"Geen verstrekking in Open Data",23975,Ja,,,,,,,,4,4,0,0,,412,0,M1,,,"r. in kofferruimte by reservewiel",1726,R,,e2*2001/116*0327*57,2R40,2R401E,0,0.07,261,Nee,Nee,,Nee,2626,0,0.00,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json
TH879T,Personenauto,BMW,318I,20220810,20180810,7359,sedan,5,ZWART,"Niet geregistreerd",3,1499,1400,2000,1500,695,1300,,20180810,20180810,"Geen verstrekking in Open Data",48103,Ja,,,,,,,,4,4,0,0,,463,0,M1,,,,2000,3L,,e1*2007/46*0314*24,8E31,6AW50000,0,0.07,281,Nee,Nee,,Nee,3300,0,0.00,https://opendata.rdw.nl/resource/3huj-srit.json,https://opendata.rdw.nl/resource/8ys7-d773.json,https://opendata.rdw.nl/resource/vezc-m2t6.json,https://opendata.rdw.nl/resource/jhie-znh9.json,https://opendata.rdw.nl/resource/kmfi-hrps.json
