Kenteken,"As nummer","Aantal assen","Aangedreven as",Hefas,"Plaatscode as",Spoorbreedte,"Weggedrag code","Wettelijk toegestane maximum aslast","Technisch toegestane maximum aslast"
SH774J,2,2,,,A,160,,1460,
TB112B,1,2,,,V,161,,1085,
TB847H,1,2,,,V,158,,1030,1030
TD550G,2,2,,,A,157,,1065,
TD993G,2,2,,,A,161,,1280,
TB126X,2,2,,,A,155,,1020,
TD073B,1,2,,,V,148,,900,900
SZ213B,2,2,,,A,171,,1800,1800
TD677D,1,2,,,V,153,,810,810
TB654F,1,2,,,V,159,,1090,1090
TB031F,2,2,,,A,141,,650,650
TB327V,1,2,,,V,153,,900,900
TD122K,2,2,,,A,154,,1180,
TB776F,2,2,,,A,146,,1160,
TB202T,1,2,,,V,161,,1075,1075
SX709J,1,2,,,V,154,,1040,1040
TB108R,2,2,,,A,156,,1050,1050
SZ157X,1,2,,,V,139,,740,740
TB030S,1,2,,,V,150,,900,900
TB876J,1,2,,,V,156,,1080,1080
OR47KG,2,3,,N,A,,,9000,9000
TB818R,2,2,,,A,148,,770,770
TD881J,2,2,,,A,169,,1775,
SV971P,1,2,,,V,154,,920,
SX929S,1,2,,,V,156,,965,
TB845B,1,2,,,V,153,,887,887
V842PX,1,2,,,V,154,,1100,1100
TB827G,2,2,,,A,150,,940,940
SZ373L,1,2,,,V,154,,945,945
V067NH,2,2,,N,A,174,,2250,2250
TB037Z,1,2,,,V,150,,850,850
SR401N,1,2,,,V,157,,1025,1025
TB982D,2,2,,,A,148,,800,800
SL742S,2,2,,,A,157,,1055,1055
SX520Z,2,2,,,A,147,,815,815
TB268F,1,2,,,V,148,,920,920
OR45KH,1,3,,J,A,,,9000,9000
SZ951T,1,2,,,V,161,,1085,1085
SZ318G,2,2,,,A,163,,1300,1300
SZ583J,2,2,,,A,153,,1065,1065
SZ945R,1,2,,,V,155,,960,960
TD986J,1,2,,,V,160,,1150,
SK724Z,2,2,,,A,161,,1050,1050
SZ651Z,1,2,,,V,171,,1470,1470
V752PR,2,2,,N,A,172,,2250,2250
SB080K,2,2,,,A,152,,850,850
TD477F,1,2,,,V,162,,1580,
SK876R,1,2,,,V,156,,915,
TB561N,2,2,,,A,156,,1170,1170
TB813B,2,2,,,A,151,,852,852
09WSSP,3,3,,N,A,,,1350,1350
SX918K,1,2,,,V,146,,770,
TB960J,2,2,,,A,150,,1000,1000
TD859G,2,2,,,A,152,,900,
SN598V,1,2,,,V,154,,1040,
TB017L,2,2,,,A,154,,990,990
SZ891R,2,2,,,A,140,,720,720
TB565R,1,2,,,V,166,,1300,1300
TD255K,2,2,,,A,146,,770,
OR02JZ,3,3,,J,A,,,9000,9000
TB327T,2,2,,,A,154,,1255,1255
TD604H,2,2,,,A,154,,1135,
SX200B,1,2,,,V,154,,970,970
78WSPD,2,2,,N,A,,,1350,1350
TB023K,1,2,,,V,153,,920,920
16WSSH,1,2,,N,A,,,1500,1500
SZ650R,1,2,,,V,152,,920,920
04BLB5,1,3,N,N,V,,,9000,9000
SX135J,1,2,,,V,181,,1850,1850
35BLB6,1,3,N,N,V,213,,8000,8000
SZ331R,2,2,,,A,156,,970,970
SZ862F,1,2,,,V,150,,850,850
OR64KH,3,3,,J,A,,,9000,9000
TB959J,2,2,,,A,150,,1000,1000
SZ576V,1,2,,,V,141,,710,710
SX120K,1,2,,,V,154,,865,865
SZ988X,2,2,,,A,161,,1075,1075
TB683J,2,2,,,A,155,,950,950
TB102Z,2,2,,,A,152,,867,867
SK570K,2,2,,,A,151,,893,
SV575X,2,2,,,A,148,,800,800
SB548K,1,2,,,V,149,,850,850
SX350T,1,2,,,V,148,,1050,1050
3KSR93,2,2,,,A,164,,2800,
TD540B,1,2,,,V,141,,740,740
TB370X,2,2,,,A,140,,640,
TB400X,2,2,,,A,155,,990,
TD196F,2,2,,,A,166,,1470,1470
TB836B,1,2,,,V,150,,850,850
SF459H,1,2,,,V,148,,900,900
TB860H,1,2,,,V,150,,915,915
TB760G,2,2,,,A,155,,1070,1070
SZ570G,2,2,,,A,167,,1480,1480
SX264L,2,2,,,A,147,,830,830
SX215R,1,2,,,V,158,,1200,1200
V751PV,2,2,,N,A,,,2800,3700
SZ225N,1,2,,,V,148,,855,
SV173J,2,2,,,A,149,,790,
TB956B,2,2,,,A,155,,960,960
RS471D,2,2,,,A,157,,910,
SX599X,1,2,,,V,150,,870,870
TD579H,2,2,,,A,156,,990,990
SX492S,2,2,,,A,150,,700,700
V080PS,1,2,,,V,151,,1200,1200
TB994K,2,2,,,A,163,,1335,1335
SZ040Z,2,2,,,A,159,,1100,1100
V873PT,1,2,,,V,162,,1585,1585
TB714S,2,2,,,A,198,,2000,
V214PZ,2,2,,N,A,179,,2400,2400
RT175S,1,2,,,V,144,,870,870
V077LZ,1,2,,N,V,176,,1550,1550
SZ586R,2,2,,,A,158,,955,955
SJ908D,2,2,,,A,140,,720,720
SZ989F,1,2,,,V,143,,600,600
TB756G,2,2,,,A,157,,1120,1120
TB002X,1,2,,,V,166,,1300,1300
SZ381T,1,2,,,V,153,,965,965
33BJHD,1,2,,N,V,162,,1630,1630
TB029D,2,2,,,A,155,,980,980
OR54JY,1,3,,N,A,,,9000,9000
91WSSV,2,2,,N,A,,,10000,10000
TB639H,2,2,,,A,156,,970,970
77WSSJ,1,3,,N,V,,,10000,10000
OR75KG,3,3,,N,A,,,9000,9000
TB094K,2,2,,,A,150,,980,980
TB686J,2,2,,,A,155,,950,950
SV519V,2,2,,,A,154,,910,910
V857PP,1,2,,,V,162,,1550,1550
TB038Z,1,2,,,V,150,,850,850
SV307Z,1,2,,,V,148,,900,900
TB640P,1,2,,,V,162,,1050,1050
SZ085Z,2,2,,,A,156,,1050,1050
18WSSB,2,2,,N,A,,,1200,1200
TD917G,1,2,,,V,146,,960,
65TGB7,2,2,,,,170,,1555,1555
SZ554V,2,2,,,A,150,,880,880
TB406K,1,2,,,V,147,,900,900
SV667S,1,2,,,V,165,,1190,1190
TB013Z,2,2,,,A,152,,867,867
SX156Z,1,2,,,V,146,,855,
TD328J,1,2,,,V,100,,963,
OR81FG,3,3,,N,A,,,9000,9000
V095PZ,2,2,,,A,153,,1230,1230
54BKZ5,1,2,N,N,V,,,8000,8000
SX556F,1,2,,,V,154,,895,895
TB078K,2,2,,,A,141,,650,650
98WSRB,3,3,,N,A,,,1350,1350
V587PV,1,2,,,V,173,,1750,1750
SZ614V,2,2,,,A,156,,1080,1080
TB197R,2,2,,,A,154,,1070,1070
TD711G,1,2,,,V,156,,1040,
ST981B,1,2,,,V,162,,1190,1190
TD337K,1,2,,,V,155,,990,
