Kenteken,"Brandstof volgnummer","Brandstof omschrijving","Brandstofverbruik buiten de stad","Brandstofverbruik gecombineerd","Brandstofverbruik stad","CO2 uitstoot gecombineerd","CO2 uitstoot gewogen","Geluidsniveau rijdend","Geluidsniveau stationair",Emissieklasse,"Milieuklasse EG Goedkeuring (licht)","Milieuklasse EG Goedkeuring (zwaar)","Uitstoot deeltjes (licht)","Uitstoot deeltjes (zwaar)",Nettomaximumvermogen,"Nominaal continu maximumvermogen",Roetuitstoot,"Toerental geluidsniveau","Emissie deeltjes type1 wltp","Emissie co2 gecombineerd wltp","Emissie co2 gewogen gecombineerd wltp","Brandstof verbruik gecombineerd wltp","Brandstof verbruik gewogen gecombineerd wltp","Elektrisch verbruik enkel elektrisch wltp","Actie radius enkel elektrisch wltp","Actie radius enkel elektrisch stad wltp","Elektrisch verbruik extern opladen wltp","Actie radius extern opladen wltp","Actie radius extern opladen stad wltp","Max vermogen 15 minuten","Max vermogen 60 minuten","Netto max vermogen elektrisch","Klasse hybride elektrisch voertuig"
25MLST,1,Benzine,,,,,,72,90,,134/2014*2018/295A1,,,,35.00,,,4000,,,,,,,,,,,,,,,
H655LS,1,Benzine,4.80,6.30,9.10,150,,72,77,4,70/220*2003/76B,,,,55.00,,,3750,,,,,,,,,,,,,,,
VDN70V,1,Benzine,,,,,,,,5,,,,,272.00,,,,,,,,,,,,,,,,,,
10MLSX,1,Benzine,,,,,,80,88,,,,,,63.00,,,3750,,,,,,,,,,,,,,,
62MLTB,1,Benzine,,,,,,76,88,,134/2014*2018/295A1,,,,11.00,,,4500,,,,,,,,,,,,,,,
H789TB,1,Benzine,5.70,6.70,8.50,156,,72,75,5,715/2007*566/2011F,,0.00178,,118.00,,,3750,,,,,,,,,,,,,,,
H364NV,1,Benzine,5.30,6.20,7.80,143,,70,72,6,715/2007*2015/45W,,0.00268,,88.30,,,3750,,,,,,,,,,,,,,,
H868NP,2,Elektriciteit,,,,,,,,6,715/2007*2018/1832DG,,,,,48.00,,,,,,,,,,,,,,,48.00,88.00,NOVC-HEV
H546LD,1,Benzine,4.30,5.10,6.40,119,,74,82,5,715/2007*692/2008F,,,,51.00,,,4125,,,,,,,,,,,,,,,
H284NT,1,Benzine,7.30,9.10,12.30,216,,71,81,4,70/220*2003/76B,,,,125.00,,,4500,,,,,,,,,,,,,,,
DZK50N,1,Benzine,,,,,,65,80,,"No 134/2014",,,,1.60,,,2750,,,,,,,,,,,,,,,
22BPN1,1,Diesel,,,,,,75,90,6,,595/2009*2018/932D,,,405.00,,,1350,,,,,,,,,,,,,,,
